TIME,CHAN1
0.000173820,3.20e+00
0.000173825,3.60e+00
0.000173830,3.60e+00
0.000173835,3.60e+00
0.000173840,3.60e+00
0.000173845,3.80e+00
0.000173850,3.80e+00
0.000173855,4.20e+00
0.000173860,4.20e+00
0.000173865,4.00e+00
0.000173870,4.00e+00
0.000173875,4.00e+00
0.000173880,4.00e+00
0.000173885,4.00e+00
0.000173890,4.20e+00
0.000173895,4.20e+00
0.000173900,4.20e+00
0.000173905,4.00e+00
0.000173910,4.20e+00
0.000173915,4.00e+00
0.000173920,4.00e+00
0.000173925,4.20e+00
0.000173930,4.20e+00
0.000173935,4.40e+00
0.000173940,4.40e+00
0.000173945,4.20e+00
0.000173950,4.20e+00
0.000173955,4.20e+00
0.000173960,4.20e+00
0.000173965,4.40e+00
0.000173970,4.40e+00
0.000173975,4.60e+00
0.000173980,4.60e+00
0.000173985,4.60e+00
0.000173990,4.60e+00
0.000173995,5.80e+00
0.000174000,8.40e+00
0.000174005,1.10e+01
0.000174010,1.10e+01
0.000174015,1.10e+01
0.000174020,1.10e+01
0.000174025,1.10e+01
0.000174030,1.10e+01
0.000174035,1.10e+01
0.000174040,1.10e+01
0.000174045,1.10e+01
0.000174050,1.10e+01
0.000174055,1.10e+01
0.000174060,1.10e+01
0.000174065,1.10e+01
0.000174070,1.06e+01
0.000174075,7.60e+00
0.000174080,6.60e+00
0.000174085,3.40e+00
0.000174090,2.80e+00
0.000174095,1.00e+00
0.000174100,6.00e-01
0.000174105,-4.00e-01
0.000174110,-4.00e-01
0.000174115,-6.00e-01
0.000174120,-4.00e-01
0.000174125,6.00e-01
0.000174130,1.00e+00
0.000174135,3.00e+00
0.000174140,3.60e+00
0.000174145,6.00e+00
0.000174150,6.80e+00
0.000174155,8.80e+00
0.000174160,9.20e+00
0.000174165,1.08e+01
0.000174170,1.10e+01
0.000174175,1.10e+01
0.000174180,1.10e+01
0.000174185,1.10e+01
0.000174190,1.10e+01
0.000174195,9.60e+00
0.000174200,9.20e+00
0.000174205,7.80e+00
0.000174210,7.40e+00
0.000174215,6.20e+00
0.000174220,6.00e+00
0.000174225,5.00e+00
0.000174230,4.80e+00
0.000174235,4.00e+00
0.000174240,4.00e+00
0.000174245,4.00e+00
0.000174250,4.00e+00
0.000174255,4.00e+00
0.000174260,4.00e+00
0.000174265,4.00e+00
0.000174270,4.20e+00
0.000174275,4.40e+00
0.000174280,4.60e+00
0.000174285,5.00e+00
0.000174290,5.20e+00
0.000174295,5.80e+00
0.000174300,6.00e+00
0.000174305,6.60e+00
0.000174310,6.80e+00
0.000174315,7.60e+00
0.000174320,7.80e+00
0.000174325,8.40e+00
0.000174330,8.40e+00
0.000174335,8.60e+00
0.000174340,8.60e+00
0.000174345,8.20e+00
0.000174350,8.20e+00
0.000174355,7.40e+00
0.000174360,7.20e+00
0.000174365,6.40e+00
0.000174370,6.00e+00
0.000174375,5.20e+00
0.000174380,5.00e+00
0.000174385,4.20e+00
0.000174390,4.20e+00
0.000174395,4.00e+00
0.000174400,3.80e+00
0.000174405,4.00e+00
0.000174410,4.00e+00
0.000174415,4.20e+00
0.000174420,4.40e+00
0.000174425,4.80e+00
0.000174430,5.00e+00
0.000174435,5.60e+00
0.000174440,5.60e+00
0.000174445,6.20e+00
0.000174450,6.20e+00
0.000174455,6.80e+00
0.000174460,7.00e+00
0.000174465,7.40e+00
0.000174470,7.40e+00
0.000174475,7.80e+00
0.000174480,7.80e+00
0.000174485,7.80e+00
0.000174490,7.80e+00
0.000174495,7.60e+00
0.000174500,7.40e+00
0.000174505,7.00e+00
0.000174510,6.80e+00
0.000174515,6.20e+00
0.000174520,6.00e+00
0.000174525,5.20e+00
0.000174530,5.00e+00
0.000174535,4.40e+00
0.000174540,4.40e+00
0.000174545,4.00e+00
0.000174550,4.00e+00
0.000174555,4.20e+00
0.000174560,4.20e+00
0.000174565,4.60e+00
0.000174570,4.80e+00
0.000174575,5.40e+00
0.000174580,5.60e+00
0.000174585,6.20e+00
0.000174590,6.40e+00
0.000174595,7.00e+00
0.000174600,7.00e+00
0.000174605,7.40e+00
0.000174610,7.40e+00
0.000174615,7.60e+00
0.000174620,7.40e+00
0.000174625,7.40e+00
0.000174630,7.40e+00
0.000174635,7.00e+00
0.000174640,6.80e+00
0.000174645,6.40e+00
0.000174650,6.40e+00
0.000174655,5.80e+00
0.000174660,5.80e+00
0.000174665,5.40e+00
0.000174670,5.20e+00
0.000174675,5.00e+00
0.000174680,4.80e+00
0.000174685,4.60e+00
0.000174690,4.60e+00
0.000174695,4.60e+00
0.000174700,4.60e+00
0.000174705,4.80e+00
0.000174710,4.80e+00
0.000174715,5.20e+00
0.000174720,5.20e+00
0.000174725,5.60e+00
0.000174730,5.80e+00
0.000174735,6.20e+00
0.000174740,6.40e+00
0.000174745,6.60e+00
0.000174750,6.80e+00
0.000174755,6.80e+00
0.000174760,6.80e+00
0.000174765,6.80e+00
0.000174770,6.80e+00
0.000174775,6.40e+00
0.000174780,6.40e+00
0.000174785,6.00e+00
0.000174790,6.00e+00
0.000174795,5.60e+00
0.000174800,5.60e+00
0.000174805,5.20e+00
0.000174810,5.20e+00
0.000174815,5.00e+00
0.000174820,5.00e+00
0.000174825,5.00e+00
0.000174830,5.00e+00
0.000174835,5.00e+00
0.000174840,5.00e+00
0.000174845,5.20e+00
0.000174850,5.20e+00
0.000174855,5.40e+00
0.000174860,5.40e+00
0.000174865,5.60e+00
0.000174870,5.80e+00
0.000174875,6.00e+00
0.000174880,6.00e+00
0.000174885,6.20e+00
0.000174890,6.20e+00
0.000174895,6.40e+00
0.000174900,6.20e+00
0.000174905,6.40e+00
0.000174910,6.40e+00
0.000174915,6.40e+00
0.000174920,6.20e+00
0.000174925,6.20e+00
0.000174930,6.00e+00
0.000174935,6.00e+00
0.000174940,6.00e+00
0.000174945,5.80e+00
0.000174950,5.80e+00
0.000174955,5.60e+00
0.000174960,5.60e+00
0.000174965,5.40e+00
0.000174970,5.40e+00
0.000174975,5.40e+00
0.000174980,5.40e+00
0.000174985,5.40e+00
0.000174990,5.40e+00
0.000174995,5.60e+00
0.000175000,5.60e+00
0.000175005,5.60e+00
0.000175010,5.60e+00
0.000175015,5.80e+00
0.000175020,5.80e+00
0.000175025,5.80e+00
0.000175030,6.00e+00
0.000175035,5.80e+00
0.000175040,6.00e+00
0.000175045,6.00e+00
0.000175050,6.00e+00
0.000175055,6.00e+00
0.000175060,6.00e+00
0.000175065,6.00e+00
0.000175070,6.00e+00
0.000175075,6.00e+00
0.000175080,6.00e+00
0.000175085,5.80e+00
0.000175090,5.80e+00
0.000175095,5.60e+00
0.000175100,5.60e+00
0.000175105,5.60e+00
0.000175110,5.60e+00
0.000175115,5.40e+00
0.000175120,5.40e+00
0.000175125,5.40e+00
0.000175130,5.40e+00
0.000175135,5.40e+00
0.000175140,5.40e+00
0.000175145,5.40e+00
0.000175150,5.40e+00
0.000175155,5.60e+00
0.000175160,5.60e+00
0.000175165,5.60e+00
0.000175170,5.60e+00
0.000175175,5.60e+00
0.000175180,5.60e+00
0.000175185,5.80e+00
0.000175190,5.80e+00
0.000175195,5.80e+00
0.000175200,5.80e+00
0.000175205,6.00e+00
0.000175210,5.80e+00
0.000175215,6.00e+00
